model,nodes,ep,microbatch,topology,link_gbps,makespan_ps,makespan_ms
mixtral8x7B,256,8,8,fattree,400,231458923506,231.459
mixtral8x7B,256,8,8,os_fattree,400,0,0.000
mixtral8x7B,256,8,8,flat,400,200453248480,200.453
mixtral8x7B,256,8,8,mixnet,400,437427295546,437.427
mixtral8x7B,256,8,8,fattree,800,217907312830,217.907
mixtral8x7B,256,8,8,os_fattree,800,0,0.000
mixtral8x7B,256,8,8,flat,800,197453254310,197.453
mixtral8x7B,256,8,8,mixnet,800,385205235905,385.205
mixtral8x7B,256,8,8,glass_fb,4096,195535159450,195.535
mixtral8x7B_tpsweep,64,8,8,fattree,400,498842933076,498.843
mixtral8x7B_tpsweep,64,8,8,os_fattree,400,0,0.000
mixtral8x7B_tpsweep,64,8,8,flat,400,491801781048,491.802
mixtral8x7B_tpsweep,64,8,8,mixnet,400,0,0.000
mixtral8x7B_tpsweep,64,8,8,fattree,800,493128182124,493.128
mixtral8x7B_tpsweep,64,8,8,os_fattree,800,0,0.000
mixtral8x7B_tpsweep,64,8,8,flat,800,491801244848,491.801
mixtral8x7B_tpsweep,64,8,8,mixnet,800,0,0.000
mixtral8x7B_tpsweep,64,8,8,glass_fb,4096,491804219251,491.804
mixtral8x7B_tpsweep,128,8,8,fattree,400,345262673154,345.263
mixtral8x7B_tpsweep,128,8,8,os_fattree,400,345262673154,345.263
mixtral8x7B_tpsweep,128,8,8,flat,400,309130702272,309.131
mixtral8x7B_tpsweep,128,8,8,mixnet,400,490192946656,490.193
mixtral8x7B_tpsweep,128,8,8,fattree,800,327162086058,327.162
mixtral8x7B_tpsweep,128,8,8,os_fattree,800,327162086058,327.162
mixtral8x7B_tpsweep,128,8,8,flat,800,303185759922,303.186
mixtral8x7B_tpsweep,128,8,8,mixnet,800,471981884157,471.982
mixtral8x7B_tpsweep,128,8,8,glass_fb,4096,298621427919,298.621
mixtral8x7B_tpsweep,256,8,8,fattree,400,230684106660,230.684
mixtral8x7B_tpsweep,256,8,8,os_fattree,400,0,0.000
mixtral8x7B_tpsweep,256,8,8,flat,400,200406482839,200.406
mixtral8x7B_tpsweep,256,8,8,mixnet,400,435391293196,435.391
mixtral8x7B_tpsweep,256,8,8,fattree,800,217735374323,217.735
mixtral8x7B_tpsweep,256,8,8,os_fattree,800,0,0.000
mixtral8x7B_tpsweep,256,8,8,flat,800,197406399309,197.406
mixtral8x7B_tpsweep,256,8,8,mixnet,800,385337399625,385.337
mixtral8x7B_tpsweep,256,8,8,glass_fb,4096,195489761749,195.490
mixtral8x7B_tpsweep,512,8,8,fattree,400,162954128363,162.954
mixtral8x7B_tpsweep,512,8,8,os_fattree,400,0,0.000
mixtral8x7B_tpsweep,512,8,8,flat,400,144559071794,144.559
mixtral8x7B_tpsweep,512,8,8,mixnet,400,355368301871,355.368
mixtral8x7B_tpsweep,512,8,8,fattree,800,152446502691,152.447
mixtral8x7B_tpsweep,512,8,8,os_fattree,800,0,0.000
mixtral8x7B_tpsweep,512,8,8,flat,800,143028602794,143.029
mixtral8x7B_tpsweep,512,8,8,mixnet,800,321280516638,321.281
mixtral8x7B_tpsweep,512,8,8,glass_fb,4096,142135883333,142.136
