# gen_port_map.py dp=2 tp=1 pp=4 ep=32 psize=32 hi_order=pp_major dp_mode=ring used_pairs=/tmp/p32_3893412/used_ep32.txt ep_ports=12 dp_ports=2 pp_ports=1
# panels=8 ports used per panel: min 4 max 6 of 32
# panel 0: ep->[] dp->[1] pp->[2] used 4
# panel 1: ep->[] dp->[0] pp->[3] used 4
# panel 2: ep->[] dp->[3] pp->[0, 4] used 6
# panel 3: ep->[] dp->[2] pp->[1, 5] used 6
# panel 4: ep->[] dp->[5] pp->[2, 6] used 6
# panel 5: ep->[] dp->[4] pp->[3, 7] used 6
# panel 6: ep->[] dp->[7] pp->[4] used 4
# panel 7: ep->[] dp->[6] pp->[5] used 4
0 1 2
0 2 2
1 3 2
2 3 2
2 4 2
3 5 2
4 5 2
4 6 2
5 7 2
6 7 2
