paper_ref,system,ep,nodes,q,makespan_ms,expected_ms,reproduced,rtos,drops,loss_verdict,wall_s,status,note,quotable,quotable_why,link_rate_fixed,quoted_by
drops,hgx8_pkt,64,512,1224,144.519,144.519,yes,2192,0,spurious_timeouts_no_loss,1129,measured,drop counter validated: 2317980 on the mesh control; 0 on the island; a zero here means no loss rather than no counting,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),,
drops,hgx8_pkt,128,1024,1224,365.733,365.733,yes,138883,0,spurious_timeouts_no_loss,6379,measured,drop counter validated: 2317980 on the mesh control; 0 on the island; a zero here means no loss rather than no counting,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),,
