paper_ref,system,cabling,ep,nodes,mb,k,q,q_over_bdp,relayed_pairs,completed,makespan_ms,expected_ms,reproduced,rtos,flows_total,flows_payload,fct_logdir,mean_fct_ms,p50_fct_ms,p99_fct_ms,max_fct_ms,wall_s,status,note,quotable,quotable_why,link_rate_fixed,quoted_by
cliff,glassfb,ep64_gt,64,512,8,32,8533,32.0,0,COMPLETE,39.410,39.410,yes,564,1199104,918016,clean,0.0302,0.0002,0.4421,2.5217,1980,tail,FCT tail re-measured; the walk's cells shared one logdir so its tails were unattributable,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),,
cliff,glassfb,ep64_gt,64,512,8,64,17067,64.0,0,COMPLETE,39.395,39.395,yes,0,1199104,918016,clean,0.0299,0.0002,0.4299,2.5338,1946,tail,FCT tail re-measured; the walk's cells shared one logdir so its tails were unattributable,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),,
