paper_ref,model,cabling,ep,nodes,panels,k,q,q_over_bdp,ecn_k,rto_min_us,mtu,relayed_pairs,completed,makespan_ms,rtos,wall_s,status,note,status_fct,flows_total,flows_one_mss,flows_payload,p50_fct_ms,mean_fct_ms_all,p50_fct_ms_all,p99_fct_ms_all,max_fct_ms_all,fct_logdir,quotable,quotable_why,link_rate_fixed,quoted_by
cliff,pkt_glass,portmap_ground_truth,32,256,16,2,1067,2.0,533,100,1500,0,COMPLETE,85.365,1499,690,sensitivity,buffer sensitivity on the ground-truth cabling; BDP=800000 B at 400 GB/s x 4x500 ns,requested_size,304640,0,304640,0.0008,0.0355,0.0008,0.4870,13.3118,clean,no,"timeouts present: 1499, loss not measured",,
cliff,pkt_glass,portmap_ground_truth,32,256,16,4,2133,4.0,1066,100,1500,0,COMPLETE,75.542,0,726,sensitivity,buffer sensitivity on the ground-truth cabling; BDP=800000 B at 400 GB/s x 4x500 ns,requested_size,304640,0,304640,0.0008,0.0324,0.0008,0.3952,4.9705,clean,yes,relay-clean and zero timeouts,,
cliff,pkt_glass,portmap_ground_truth,32,256,16,8,4267,8.0,2133,100,1500,0,COMPLETE,75.540,0,679,sensitivity,buffer sensitivity on the ground-truth cabling; BDP=800000 B at 400 GB/s x 4x500 ns,requested_size,304640,0,304640,0.0008,0.0324,0.0008,0.3954,4.9890,clean,yes,relay-clean and zero timeouts,,
