paper_ref,system,ep,nodes,q,feeder_pkts,rto_min_us,makespan_ms,rtos,rto_times,drops_reported,vs_100us_ms,status,note,quotable,quotable_why,fct_logdir,link_rate_fixed,quoted_by
probe,hgx8,32,256,270,135,100,164.522,105,58 ,0,,,,no,"timeouts present: 105, loss not measured",shared_logdir,,
0,+0.0000,probe,spurious-RTO probe: raising the floor must remove the firing by construction, so the drop count at the ORIGINAL floor is the test that does not change what it measures,,,,,,,,,,no,no completed iteration,,,
probe,hgx8,32,256,270,135,1000,164.518,0,none,0,,,,yes,relay-clean and zero timeouts,shared_logdir,,
0,-0.0040,probe,spurious-RTO probe: raising the floor must remove the firing by construction, so the drop count at the ORIGINAL floor is the test that does not change what it measures,,,,,,,,,,no,no completed iteration,,,
