paper_ref,workload_type,ep_source,model,topk,ep,mb,nodes,system,island_gpus,island_bw,nic_bw,rtt_ns,q,q_over_bdp,feeder_pkts,rto_min_us,mtu,makespan_ms,rtos,flows_a2a_only,flows_total,flows_one_mss,flows_payload,p50_fct_ms,mean_fct_ms_all,p50_fct_ms_all,p99_fct_ms_all,max_fct_ms_all,status_fct,mean_fct_ms,p99_fct_ms,max_fct_ms,wall_s,status,note
cliff,training,flexflow_llamaMoE,llamaMoE,2,16,8,128,hgx8,8,450,50,2000,135,2,65,100,1500,145.497,0,32768,25280,9696,15584,0.2993,0.3921,0.0077,5.8032,10.3210,payload_gt_1mss,0.6292,6.0222,10.3210,87,sensitivity,HGX-8 scale-out buffer sensitivity; BDP at 50 GB/s and 2 us = 67 pkts
cliff,training,flexflow_llamaMoE,llamaMoE,2,16,8,128,hgx8,8,450,50,2000,270,4,130,100,1500,145.497,0,32768,25280,9696,15584,0.2993,0.3921,0.0077,5.8032,10.3210,payload_gt_1mss,0.6292,6.0222,10.3210,86,final,HGX-8 scale-out buffer sensitivity; BDP at 50 GB/s and 2 us = 67 pkts
cliff,training,flexflow_llamaMoE,llamaMoE,2,16,8,128,hgx8,8,450,50,2000,540,8,260,100,1500,145.497,0,32768,25280,9696,15584,0.2993,0.3921,0.0077,5.8032,10.3210,payload_gt_1mss,0.6292,6.0222,10.3210,87,sensitivity,HGX-8 scale-out buffer sensitivity; BDP at 50 GB/s and 2 us = 67 pkts
