paper_ref,model,cabling,workload_type,model_name,topk,ep,mb,nodes,panels,system,ports_lit,per_gpu_xpanel_gbs,opt_bw,elec_bw,q,q_over_bdp,rto_min_us,mtu,placement,dim_a2a,relayed_pairs,completed,makespan_ms,rtos,flows_a2a_only,flows_total,flows_one_mss,flows_payload,p50_fct_ms,mean_fct_ms_all,p50_fct_ms_all,p99_fct_ms_all,max_fct_ms_all,status_fct,fct_logdir,mean_fct_ms,p99_fct_ms,max_fct_ms,wall_s,status,note,quotable,quotable_why
cliff,portmap,ep16_0_8_4.txt,training,llamaMoE,2,16,8,128,8,glassfb,12..16,300..400,384,1800,1064,8.0,100,1500,on,on,0,COMPLETE,86.750,0,32768,78592,0,78592,0.0008,0.0231,0.0008,0.3061,2.5940,requested_size,clean,0.0231,0.3061,2.5940,206,final,port-map cabling; placement+dim-route ON,yes,relay-clean and zero timeouts
cliff,portmap,ep32_12_2_1.txt,training,llamaMoE,2,32,8,256,16,glassfb,15..16,375..400,384,1800,1064,8.0,100,1500,on,on,1,COMPLETE,92.323,2047,131072,304640,0,304640,0.0008,0.0400,0.0008,0.7027,12.3577,requested_size,clean,0.0400,0.7027,12.3577,735,blocked,port-map cabling; placement+dim-route ON,no,relayed panel pair(s): 1
cliff,portmap,ep32_8_4_2.txt,training,llamaMoE,2,32,8,256,16,glassfb,14..16,350..400,384,1800,1064,8.0,100,1500,on,on,1,COMPLETE,125.666,8777,131072,304640,0,304640,0.0008,0.0786,0.0008,1.4339,18.4028,requested_size,clean,0.0786,1.4339,18.4028,649,blocked,port-map cabling; placement+dim-route ON,no,relayed panel pair(s): 1
cliff,portmap,ep64_12_2_1.txt,training,qwenMoE,4,64,8,512,32,glassfb,13..16,325..400,384,1800,1064,8.0,100,1500,on,on,1,COMPLETE,51.478,103067,524288,1199104,0,1199104,0.0008,0.0912,0.0008,1.7089,5.0677,requested_size,clean,0.0912,1.7089,5.0677,,,,no,relayed panel pair(s): 1
cliff,portmap,ep64_12_2_1.txt,training,qwen2_57b,8,64,8,512,32,glassfb,13..16,325..400,384,1800,1064,8.0,100,1500,on,on,1,COMPLETE,155.509,101205,524288,0.1660,3.0112,13.4518,6814,blocked,port-map cabling; placement+dim-route ON
cliff,portmap,ep32_12_2_1.txt,training,llamaMoE,2,32,8,256,16,glassfb,15..16,375..400,384,1800,1064,8.0,100,1500,on,on,1,COMPLETE,92.323,2047,131072,0.0400,0.7026,12.3577,812,blocked,port-map cabling; placement+dim-route ON
