paper_ref,cabling,dim_a2a,ep,nodes,panels,inter_mode,inter_bw,G,q,q_over_bdp,rto_min_us,mtu,relayed_pairs,completed,makespan_ms,rtos,wall_s,status,note,status_fct,flows_total,flows_one_mss,flows_payload,p50_fct_ms,mean_fct_ms_all,p50_fct_ms_all,p99_fct_ms_all,max_fct_ms_all,fct_logdir
,,,,,,,,,,,,,,,,,,submitted,job=12895822 host=atl1-1-01-003-9-2 start=2026-09-06T22:21:18,UNMATCHED,,,,,,,,,
cliff,mesh,1,32,256,16,mesh,1600,4,1064,4.0,100,1500,0,COMPLETE,156.004,16068,731,final,q held at 1064 across all four cells,requested_size,304640,0,304640,0.0008,0.1049,0.0008,1.9343,78.0844,clean
cliff,mesh,0,32,256,16,mesh,1600,4,1064,4.0,100,1500,0,COMPLETE,114.375,15294,736,final,q held at 1064 across all four cells,requested_size,304640,0,304640,0.0008,0.1024,0.0008,1.8229,24.9801,clean
