paper_ref,family,system,variant,walk,model_name,topk,ep,mb,nodes,q,q_over_bdp,rto_min_us,mtu,makespan_ms,rtos,quotable,quotable_why,fct_logdir,source,note,link_rate_fixed,quoted_by
cliff,,nvl64_pkt_s1,,s1_32,llamaMoE,,32,,256,1200,2.00,,,96.348,40884,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_32,llamaMoE,,32,,256,600,1.00,,,103.579,54709,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_32,llamaMoE,,32,,256,2400,4.00,,,162.810,14654,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_64,qwenMoE,,64,,512,19200,32.00,,,29.904,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_64,qwenMoE,,64,,512,9600,16.00,,,29.904,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_64,qwenMoE,,64,,512,1200,2.00,,,47.202,219258,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_64,qwenMoE,,64,,512,2400,4.00,,,58.532,164150,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_64,qwenMoE,,64,,512,600,1.00,,,60.197,291332,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_64,qwenMoE,,64,,512,4800,8.00,,,70.616,62129,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_128,arctic,,128,,1024,9600,16.00,,,240.730,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
