paper_ref,system,cabling,ep,nodes,mb,q,relayed_pairs,completed,makespan_ms,rtos,flows_total,flows_payload,mean_fct_ms,p50_fct_ms,p99_fct_ms,max_fct_ms,wall_s,status,note,link_rate_fixed,binary_sha,model_name,family,q_over_bdp,drops,quotable,quotable_why,walk,quoted_by,fct_logdir,fct_status,,domain,switches,link_gbps,nic_bw,q_nvs,q_nic,source
cliff,glassfb_800,ep16_0_8_4.txt,16,128,8,1066,0,COMPLETE,87.700,0,78592,57472,0.0294,0.0008,0.4403,2.0737,272,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,8ca3c1c,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800,collector,./logs/rung_12937722_3938979_1788831317976165828,clean,,,,,,,,g16b800_q1066.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,8,2133,0,COMPLETE,87.700,0,78592,57472,0.0294,0.0008,0.4403,2.0737,260,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,8ca3c1c,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800,collector,./logs/rung_12937723_1325432_1788831317969370820,clean,,,,,,,,g16b800_q2133.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,8,266,0,COMPLETE,87.712,13,78592,57472,0.0293,0.0008,0.4501,2.1049,251,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,8ca3c1c,llamaMoE,,,99989,no,not the first qualifying rung of this walk,g16b800,collector,./logs/rung_12937720_4035981_1788831317882587806,clean,,,,,,,,g16b800_q266.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,8,4267,0,COMPLETE,87.700,0,78592,57472,0.0294,0.0008,0.4403,2.0737,259,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,8ca3c1c,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800,collector,./logs/rung_12937724_2261404_1788831317969097938,clean,,,,,,,,g16b800_q4267.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,8,533,0,COMPLETE,87.700,0,78592,57472,0.0294,0.0008,0.4403,2.0737,270,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,8ca3c1c,llamaMoE,,,0,yes,first zero-timeout rung (post-fix binary),g16b800,collector,./logs/rung_12937721_4010112_1788831317951303152,clean,,,,,,,,g16b800_q533.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,8,8533,0,COMPLETE,87.700,0,78592,57472,0.0294,0.0008,0.4403,2.0737,262,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,8ca3c1c,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800,collector,./logs/rung_12937725_3105773_1788831317915209459,clean,,,,,,,,g16b800_q8533.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,16,1066,0,COMPLETE,91.617,0,78592,57472,0.0535,0.0008,0.8546,4.1199,505,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800m16,collector,./logs/rung_12940007_2262192_1788834178949911557,clean,,,,,,,,g16b800m16_q1066.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,16,2133,0,COMPLETE,91.617,0,78592,57472,0.0535,0.0008,0.8546,4.1199,505,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800m16,collector,./logs/rung_12940008_3188315_1788834179035315476,clean,,,,,,,,g16b800m16_q2133.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,16,266,0,COMPLETE,100.812,35,78592,57472,0.0542,0.0008,0.8626,17.1032,526,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,105577,no,not the first qualifying rung of this walk,g16b800m16,collector,./logs/rung_12940005_3977852_1788834178958688196,clean,,,,,,,,g16b800m16_q266.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,16,4267,0,COMPLETE,91.617,0,78592,57472,0.0535,0.0008,0.8546,4.1199,506,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800m16,collector,./logs/rung_12940009_4100288_1788834219667921836,clean,,,,,,,,g16b800m16_q4267.csv
