paper_ref,system,ep,nodes,q,q_over_bdp,ecn_k,makespan_ms,expected_ms,reproduced,rtos,drops,flows_total,flows_payload,fct_logdir,mean_fct_ms,p50_fct_ms,p99_fct_ms,max_fct_ms,fct_status,wall_s,status,note,quotable,quotable_why
sweep,nvl64_pkt,16,128,136,4.08,68,147.051,147.051,yes,1227,463301,78592,57472,shared_logdir,0.1693,0.0014,2.9296,12.7167,clean,232,sweep,re-run with -logdir so the FCT log is this run's alone; makespan must reproduce the original,no,"timeouts present: 1227, loss not measured"
sweep,nvl64_pkt,16,128,272,8.16,136,281.100,281.100,yes,166,56356,78592,57472,shared_logdir,0.1695,0.0012,2.9201,100.4170,clean,236,sweep,re-run with -logdir so the FCT log is this run's alone; makespan must reproduce the original,no,"timeouts present: 166, loss not measured"
sweep,nvl64_pkt,16,128,544,16.32,272,130.797,130.797,yes,0,375,78592,57472,shared_logdir,0.1510,0.0012,2.8803,6.7361,clean,248,sweep,re-run with -logdir so the FCT log is this run's alone; makespan must reproduce the original,yes,relay-clean and zero timeouts
