paper_ref,system,cabling,ep,nodes,mb,q,skew,wm_file,wm_seed,hot_share_pct,relayed_pairs,completed,makespan_ms,rtos,vs_skew16_pct,wall_s,quotable,status,note,quotable_why
,,,,,,,,,,,,,,,,,no,submitted,job=12898043 host=atl1-1-01-003-14-1 start=2026-09-07T00:02:54,no completed iteration
skew,glassfb,ep32_gt,32,256,8,2133,1.2,wm_ep32_skew1p2.txt,0,32.3,0,COMPLETE,72.647,0,-3.83,840,yes,sweep,skew isolated: same seed so the hot-expert permutation is identical across exponents; 1.6 is the quoted row,
skew,glassfb,ep32_gt,32,256,8,2133,1.6,wm_ep32.txt,0,48.1,0,COMPLETE,75.542,0,+0.00,786,yes,sweep,skew isolated: same seed so the hot-expert permutation is identical across exponents; 1.6 is the quoted row,
