label,op,compute_ms,share_of_compute
nvl64_pkt_s1 EP=128 mb=- s1_128_q9600,Dense,17.2061,0.1084
nvl64_pkt_s1 EP=128 mb=- s1_128_q9600,Softmax,0.6822,0.0043
nvl64_pkt_s1 EP=128 mb=- s1_128_q9600,Add,0.1317,0.0008
nvl64_pkt_s1 EP=128 mb=- s1_128_q9600,LayerNorm,0.0383,0.0002
nvl64_pkt_s1 EP=128 mb=- s1_128_q9600,Group_by,0.0123,0.0001
nvl64_pkt_s1 EP=128 mb=- s1_128_q9600,TopK,0.0101,0.0001
nvl64_pkt_s1 EP=128 mb=- s1_128_q9600,Input,0.0000,0.0000
nvl64_pkt_s1 EP=128 mb=- s1_128_q9600,Repartition,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,MultiHeadAttention,34.6195,0.4251
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Dense,18.6090,0.2285
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Softmax,11.6160,0.1426
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,LayerNorm,9.4289,0.1158
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Aggregate cooperation,6.2728,0.0770
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Add,0.8640,0.0106
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Group_by,0.0213,0.0003
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Input,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Repartition,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,TopK,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,MultiHeadAttention,34.6195,0.4251
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Dense,18.6090,0.2285
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Softmax,11.6160,0.1426
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,LayerNorm,9.4289,0.1158
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Aggregate cooperation,6.2728,0.0770
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Add,0.8640,0.0106
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Group_by,0.0213,0.0003
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Input,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Repartition,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,TopK,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,MultiHeadAttention,34.6195,0.4251
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Dense,18.6090,0.2285
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Softmax,11.6160,0.1426
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,LayerNorm,9.4289,0.1158
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Aggregate cooperation,6.2728,0.0770
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Add,0.8640,0.0106
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Group_by,0.0213,0.0003
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Input,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,Repartition,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=- s1_16_q2400,TopK,0.0000,0.0000
nvl64_pkt_s1 EP=32 mb=- s1_32_q4800,MultiHeadAttention,34.6167,0.5592
nvl64_pkt_s1 EP=32 mb=- s1_32_q4800,Aggregate cooperation,13.7957,0.2229
nvl64_pkt_s1 EP=32 mb=- s1_32_q4800,Dense,10.1619,0.1642
nvl64_pkt_s1 EP=32 mb=- s1_32_q4800,Softmax,3.0534,0.0493
nvl64_pkt_s1 EP=32 mb=- s1_32_q4800,Add,0.2153,0.0035
nvl64_pkt_s1 EP=32 mb=- s1_32_q4800,LayerNorm,0.0404,0.0007
nvl64_pkt_s1 EP=32 mb=- s1_32_q4800,Group_by,0.0097,0.0002
nvl64_pkt_s1 EP=32 mb=- s1_32_q4800,TopK,0.0058,0.0001
nvl64_pkt_s1 EP=32 mb=- s1_32_q4800,Input,0.0000,0.0000
nvl64_pkt_s1 EP=32 mb=- s1_32_q4800,Repartition,0.0000,0.0000
nvl64_pkt_s1 EP=64 mb=- s1_64_q9600,MultiHeadAttention,9.6156,0.4317
nvl64_pkt_s1 EP=64 mb=- s1_64_q9600,Dense,6.0133,0.2700
nvl64_pkt_s1 EP=64 mb=- s1_64_q9600,Add,3.9680,0.1781
nvl64_pkt_s1 EP=64 mb=- s1_64_q9600,Softmax,2.6073,0.1171
nvl64_pkt_s1 EP=64 mb=- s1_64_q9600,LayerNorm,0.0357,0.0016
nvl64_pkt_s1 EP=64 mb=- s1_64_q9600,Group_by,0.0130,0.0006
nvl64_pkt_s1 EP=64 mb=- s1_64_q9600,Aggregate cooperation,0.0118,0.0005
nvl64_pkt_s1 EP=64 mb=- s1_64_q9600,TopK,0.0100,0.0004
nvl64_pkt_s1 EP=64 mb=- s1_64_q9600,Input,0.0000,0.0000
nvl64_pkt_s1 EP=64 mb=- s1_64_q9600,Repartition,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=16 s1m16_q2400,MultiHeadAttention,34.6168,0.4381
nvl64_pkt_s1 EP=16 mb=16 s1m16_q2400,Dense,18.4371,0.2333
nvl64_pkt_s1 EP=16 mb=16 s1m16_q2400,Aggregate cooperation,13.5811,0.1719
nvl64_pkt_s1 EP=16 mb=16 s1m16_q2400,Softmax,11.6087,0.1469
nvl64_pkt_s1 EP=16 mb=16 s1m16_q2400,Add,0.6585,0.0083
nvl64_pkt_s1 EP=16 mb=16 s1m16_q2400,LayerNorm,0.0943,0.0012
nvl64_pkt_s1 EP=16 mb=16 s1m16_q2400,Group_by,0.0206,0.0003
nvl64_pkt_s1 EP=16 mb=16 s1m16_q2400,TopK,0.0071,0.0001
nvl64_pkt_s1 EP=16 mb=16 s1m16_q2400,Input,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=16 s1m16_q2400,Repartition,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=32 s1m32_q2400,MultiHeadAttention,34.6168,0.4378
nvl64_pkt_s1 EP=16 mb=32 s1m32_q2400,Dense,18.4385,0.2332
nvl64_pkt_s1 EP=16 mb=32 s1m32_q2400,Aggregate cooperation,13.6149,0.1722
nvl64_pkt_s1 EP=16 mb=32 s1m32_q2400,Softmax,11.6117,0.1469
nvl64_pkt_s1 EP=16 mb=32 s1m32_q2400,Add,0.6593,0.0083
nvl64_pkt_s1 EP=16 mb=32 s1m32_q2400,LayerNorm,0.0948,0.0012
nvl64_pkt_s1 EP=16 mb=32 s1m32_q2400,Group_by,0.0206,0.0003
nvl64_pkt_s1 EP=16 mb=32 s1m32_q2400,TopK,0.0071,0.0001
nvl64_pkt_s1 EP=16 mb=32 s1m32_q2400,Input,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=32 s1m32_q2400,Repartition,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=4 s1m4_q2400,MultiHeadAttention,34.6187,0.4200
nvl64_pkt_s1 EP=16 mb=4 s1m4_q2400,Dense,18.5827,0.2255
nvl64_pkt_s1 EP=16 mb=4 s1m4_q2400,Softmax,11.6884,0.1418
nvl64_pkt_s1 EP=16 mb=4 s1m4_q2400,LayerNorm,9.3898,0.1139
nvl64_pkt_s1 EP=16 mb=4 s1m4_q2400,Aggregate cooperation,5.4722,0.0664
nvl64_pkt_s1 EP=16 mb=4 s1m4_q2400,Add,2.6419,0.0321
nvl64_pkt_s1 EP=16 mb=4 s1m4_q2400,Group_by,0.0205,0.0002
nvl64_pkt_s1 EP=16 mb=4 s1m4_q2400,TopK,0.0035,0.0000
nvl64_pkt_s1 EP=16 mb=4 s1m4_q2400,Input,0.0000,0.0000
nvl64_pkt_s1 EP=16 mb=4 s1m4_q2400,Repartition,0.0000,0.0000
glassfb EP=32 mb=8 sk1p2_q2133,MultiHeadAttention,35.6051,0.5684
glassfb EP=32 mb=8 sk1p2_q2133,Aggregate cooperation,11.8009,0.1884
glassfb EP=32 mb=8 sk1p2_q2133,Dense,10.8653,0.1734
glassfb EP=32 mb=8 sk1p2_q2133,Softmax,3.0809,0.0492
glassfb EP=32 mb=8 sk1p2_q2133,LayerNorm,0.7281,0.0116
glassfb EP=32 mb=8 sk1p2_q2133,Add,0.5513,0.0088
glassfb EP=32 mb=8 sk1p2_q2133,Group_by,0.0097,0.0002
glassfb EP=32 mb=8 sk1p2_q2133,TopK,0.0029,0.0000
glassfb EP=32 mb=8 sk1p2_q2133,Input,0.0000,0.0000
glassfb EP=32 mb=8 sk1p2_q2133,Repartition,0.0000,0.0000
glassfb EP=32 mb=8 sk2p0_q2133,MultiHeadAttention,38.9669,0.6336
glassfb EP=32 mb=8 sk2p0_q2133,Dense,10.5529,0.1716
glassfb EP=32 mb=8 sk2p0_q2133,Aggregate cooperation,7.9680,0.1296
glassfb EP=32 mb=8 sk2p0_q2133,Softmax,3.0671,0.0499
glassfb EP=32 mb=8 sk2p0_q2133,Add,0.5430,0.0088
glassfb EP=32 mb=8 sk2p0_q2133,LayerNorm,0.3914,0.0064
glassfb EP=32 mb=8 sk2p0_q2133,Group_by,0.0097,0.0002
glassfb EP=32 mb=8 sk2p0_q2133,TopK,0.0058,0.0001
glassfb EP=32 mb=8 sk2p0_q2133,Input,0.0000,0.0000
glassfb EP=32 mb=8 sk2p0_q2133,Repartition,0.0000,0.0000
glassfb EP=128 mb=8 g128_q4267 BEST-RUNG-NOT-QUOTED (107670 RTO),MultiHeadAttention,113.4495,0.8670
glassfb EP=128 mb=8 g128_q4267 BEST-RUNG-NOT-QUOTED (107670 RTO),Dense,14.1372,0.1080
glassfb EP=128 mb=8 g128_q4267 BEST-RUNG-NOT-QUOTED (107670 RTO),Aggregate cooperation,2.4212,0.0185
glassfb EP=128 mb=8 g128_q4267 BEST-RUNG-NOT-QUOTED (107670 RTO),Softmax,0.6824,0.0052
glassfb EP=128 mb=8 g128_q4267 BEST-RUNG-NOT-QUOTED (107670 RTO),Add,0.1386,0.0011
glassfb EP=128 mb=8 g128_q4267 BEST-RUNG-NOT-QUOTED (107670 RTO),LayerNorm,0.0125,0.0001
glassfb EP=128 mb=8 g128_q4267 BEST-RUNG-NOT-QUOTED (107670 RTO),Group_by,0.0082,0.0001
glassfb EP=128 mb=8 g128_q4267 BEST-RUNG-NOT-QUOTED (107670 RTO),Input,0.0000,0.0000
glassfb EP=128 mb=8 g128_q4267 BEST-RUNG-NOT-QUOTED (107670 RTO),Repartition,0.0000,0.0000
glassfb EP=128 mb=8 g128_q4267 BEST-RUNG-NOT-QUOTED (107670 RTO),TopK,0.0000,0.0000
glassfb EP=8 mb=8 mix2off_q4267 BEST-RUNG-NOT-QUOTED (386 RTO),Dense,96.3283,0.5231
glassfb EP=8 mb=8 mix2off_q4267 BEST-RUNG-NOT-QUOTED (386 RTO),Softmax,38.8040,0.2107
glassfb EP=8 mb=8 mix2off_q4267 BEST-RUNG-NOT-QUOTED (386 RTO),MultiHeadAttention,34.6162,0.1880
glassfb EP=8 mb=8 mix2off_q4267 BEST-RUNG-NOT-QUOTED (386 RTO),Aggregate cooperation,10.9125,0.0593
glassfb EP=8 mb=8 mix2off_q4267 BEST-RUNG-NOT-QUOTED (386 RTO),LayerNorm,2.2693,0.0123
glassfb EP=8 mb=8 mix2off_q4267 BEST-RUNG-NOT-QUOTED (386 RTO),Add,1.1890,0.0065
glassfb EP=8 mb=8 mix2off_q4267 BEST-RUNG-NOT-QUOTED (386 RTO),Group_by,0.0343,0.0002
glassfb EP=8 mb=8 mix2off_q4267 BEST-RUNG-NOT-QUOTED (386 RTO),Input,0.0000,0.0000
glassfb EP=8 mb=8 mix2off_q4267 BEST-RUNG-NOT-QUOTED (386 RTO),Repartition,0.0000,0.0000
glassfb EP=8 mb=8 mix2off_q4267 BEST-RUNG-NOT-QUOTED (386 RTO),TopK,0.0000,0.0000
hgx8_pkt EP=32 q1224,MultiHeadAttention,34.6442,0.6082
hgx8_pkt EP=32 q1224,Dense,14.7637,0.2592
hgx8_pkt EP=32 q1224,LayerNorm,4.2671,0.0749
hgx8_pkt EP=32 q1224,Softmax,3.0534,0.0536
hgx8_pkt EP=32 q1224,Add,0.2033,0.0036
hgx8_pkt EP=32 q1224,Aggregate cooperation,0.0138,0.0002
hgx8_pkt EP=32 q1224,Group_by,0.0097,0.0002
hgx8_pkt EP=32 q1224,TopK,0.0087,0.0002
hgx8_pkt EP=32 q1224,Input,0.0000,0.0000
hgx8_pkt EP=32 q1224,Repartition,0.0000,0.0000
hgx8_pkt EP=32 q2448,MultiHeadAttention,34.6442,0.6082
hgx8_pkt EP=32 q2448,Dense,14.7637,0.2592
hgx8_pkt EP=32 q2448,LayerNorm,4.2671,0.0749
hgx8_pkt EP=32 q2448,Softmax,3.0534,0.0536
hgx8_pkt EP=32 q2448,Add,0.2033,0.0036
hgx8_pkt EP=32 q2448,Aggregate cooperation,0.0138,0.0002
hgx8_pkt EP=32 q2448,Group_by,0.0097,0.0002
hgx8_pkt EP=32 q2448,TopK,0.0087,0.0002
hgx8_pkt EP=32 q2448,Input,0.0000,0.0000
hgx8_pkt EP=32 q2448,Repartition,0.0000,0.0000
hgx8_pkt EP=32 q4896,MultiHeadAttention,34.6442,0.6082
hgx8_pkt EP=32 q4896,Dense,14.7637,0.2592
hgx8_pkt EP=32 q4896,LayerNorm,4.2671,0.0749
hgx8_pkt EP=32 q4896,Softmax,3.0534,0.0536
hgx8_pkt EP=32 q4896,Add,0.2033,0.0036
hgx8_pkt EP=32 q4896,Aggregate cooperation,0.0138,0.0002
hgx8_pkt EP=32 q4896,Group_by,0.0097,0.0002
hgx8_pkt EP=32 q4896,TopK,0.0087,0.0002
hgx8_pkt EP=32 q4896,Input,0.0000,0.0000
hgx8_pkt EP=32 q4896,Repartition,0.0000,0.0000
