paper_ref,model,cabling,workload_type,model_name,topk,ep,mb,nodes,panels,system,ports_lit,opt_bw,elec_bw,q,q_over_bdp,rto_min_us,mtu,placement,dim_a2a,relayed_pairs,completed,makespan_ms,rtos,flows_a2a_only,wall_s,status,note,status_fct,flows_total,flows_one_mss,flows_payload,p50_fct_ms,mean_fct_ms_all,p50_fct_ms_all,p99_fct_ms_all,max_fct_ms_all,fct_logdir
cliff,pkt_glass,portmap_ground_truth,training,llamaMoE,2,32,8,256,16,glassfb,15..16,384,1800,1064,4.0,100,1500,on,1,0,COMPLETE,91.367,1364,131072,775,final,map from GLASS_LOG_FLOWS 36/36 pairs direct,requested_size,304640,0,304640,0.0008,0.0349,0.0008,0.4494,10.5971,clean
cliff,pkt_glass,portmap_ground_truth,training,llamaMoE,2,32,8,256,16,glassfb,15..16,384,1800,1064,4.0,100,1500,on,0,0,COMPLETE,117.363,1502,131072,757,final,map from GLASS_LOG_FLOWS 36/36 pairs direct,requested_size,304640,0,304640,0.0008,0.0368,0.0008,0.4921,18.8792,clean
