paper_ref,system,ep,k_nominal,q_over_bdp,q_pkts,ecn_k,makespan_ms,rtos,flows_total,flows_one_mss,flows_payload,p50_fct_ms,mean_fct_ms_all,p50_fct_ms_all,p99_fct_ms_all,max_fct_ms_all,status_fct,fct_logdir,mean_fct_ms,p99_fct_ms,max_fct_ms,wall_s,status,quotable,quotable_why,link_rate_fixed,quoted_by
cliff,nvl64_pkt,16,32,15.6237,544,272,130.797,0,78592,0,78592,0.0012,0.1108,0.0012,2.7777,6.7361,requested_size,shared_logdir,0.1108,2.7777,6.7361,231,sensitivity,yes,relay-clean and zero timeouts,,
cliff,nvl64_pkt,16,64,31.2474,1088,544,130.295,0,78592,0,78592,0.0012,0.1100,0.0012,2.7691,6.4933,requested_size,clean,0.1100,2.7691,6.4933,233,sensitivity,yes,relay-clean and zero timeouts,,
