paper_ref,variant,substrate,hcp,tcp_C,p_gpu_W,p_pic_W,r_int_cm2KW,t_pic_C,delta_vs_perfect_K,status,note
thermal,ref_p43,glass,200000,60,700,43,0.0001,89.572,+0.000,final,"interface resistance at die|RDL, RDL|PIC, PIC|substrate as a thin layer of k=t/R; r_int 1e-9 is the perfect-contact reference every delta is taken against (R=1e-4 cm2.K/W, ~0.01 K, not 1e-9 which is numerically ill-conditioned); P_PIC 43 W is the 1600-provisioned corner, 70 W the 1.15 pJ/bit full-provision figure from docs/energy_model.md"
thermal,r0.02_p43,glass,200000,60,700,43,0.02,89.982,+0.410,final,"interface resistance at die|RDL, RDL|PIC, PIC|substrate as a thin layer of k=t/R; r_int 1e-9 is the perfect-contact reference every delta is taken against (R=1e-4 cm2.K/W, ~0.01 K, not 1e-9 which is numerically ill-conditioned); P_PIC 43 W is the 1600-provisioned corner, 70 W the 1.15 pJ/bit full-provision figure from docs/energy_model.md"
thermal,r0.05_p43,glass,200000,60,700,43,0.05,90.253,+0.681,final,"interface resistance at die|RDL, RDL|PIC, PIC|substrate as a thin layer of k=t/R; r_int 1e-9 is the perfect-contact reference every delta is taken against (R=1e-4 cm2.K/W, ~0.01 K, not 1e-9 which is numerically ill-conditioned); P_PIC 43 W is the 1600-provisioned corner, 70 W the 1.15 pJ/bit full-provision figure from docs/energy_model.md"
thermal,r0.10_p43,glass,200000,60,700,43,0.1,90.712,+1.140,final,"interface resistance at die|RDL, RDL|PIC, PIC|substrate as a thin layer of k=t/R; r_int 1e-9 is the perfect-contact reference every delta is taken against (R=1e-4 cm2.K/W, ~0.01 K, not 1e-9 which is numerically ill-conditioned); P_PIC 43 W is the 1600-provisioned corner, 70 W the 1.15 pJ/bit full-provision figure from docs/energy_model.md"
thermal,ref_p70,glass,200000,60,700,70,0.0001,89.976,+0.000,final,"interface resistance at die|RDL, RDL|PIC, PIC|substrate as a thin layer of k=t/R; r_int 1e-9 is the perfect-contact reference every delta is taken against (R=1e-4 cm2.K/W, ~0.01 K, not 1e-9 which is numerically ill-conditioned); P_PIC 43 W is the 1600-provisioned corner, 70 W the 1.15 pJ/bit full-provision figure from docs/energy_model.md"
thermal,r0.02_p70,glass,200000,60,700,70,0.02,90.520,+0.544,final,"interface resistance at die|RDL, RDL|PIC, PIC|substrate as a thin layer of k=t/R; r_int 1e-9 is the perfect-contact reference every delta is taken against (R=1e-4 cm2.K/W, ~0.01 K, not 1e-9 which is numerically ill-conditioned); P_PIC 43 W is the 1600-provisioned corner, 70 W the 1.15 pJ/bit full-provision figure from docs/energy_model.md"
thermal,r0.05_p70,glass,200000,60,700,70,0.05,90.993,+1.017,final,"interface resistance at die|RDL, RDL|PIC, PIC|substrate as a thin layer of k=t/R; r_int 1e-9 is the perfect-contact reference every delta is taken against (R=1e-4 cm2.K/W, ~0.01 K, not 1e-9 which is numerically ill-conditioned); P_PIC 43 W is the 1600-provisioned corner, 70 W the 1.15 pJ/bit full-provision figure from docs/energy_model.md"
thermal,r0.10_p70,glass,200000,60,700,70,0.1,91.789,+1.813,final,"interface resistance at die|RDL, RDL|PIC, PIC|substrate as a thin layer of k=t/R; r_int 1e-9 is the perfect-contact reference every delta is taken against (R=1e-4 cm2.K/W, ~0.01 K, not 1e-9 which is numerically ill-conditioned); P_PIC 43 W is the 1600-provisioned corner, 70 W the 1.15 pJ/bit full-provision figure from docs/energy_model.md"
