paper_ref,variant,substrate,pj_bit,hcp,tile_i,tile_j,tile_class,pic_w,pic_max_C,pic_min_C,pic_spread_C,die_max_C,bc_source
thermal,design_map_2p62,glass,2.62,70000,3,0,corner,133.04,137.103,74.665,62.438,136.841,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_2p62,glass,2.62,70000,3,1,edge,83.34,135.785,74.256,61.529,135.646,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_2p62,glass,2.62,70000,3,2,edge,83.34,135.785,74.256,61.529,135.646,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_2p62,glass,2.62,70000,3,3,corner,133.04,137.103,73.985,63.118,136.841,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,0,0,corner,59.14,138.239,63.897,74.343,138.188,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,0,1,edge,37.34,137.505,63.534,73.971,137.508,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,0,2,edge,37.34,137.505,63.534,73.971,137.508,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,0,3,corner,59.14,138.238,62.551,75.686,138.186,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,1,0,edge,37.34,142.498,65.652,76.846,142.502,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,1,1,interior,15.54,141.767,65.414,76.354,141.821,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,1,2,interior,15.54,141.767,65.414,76.354,141.821,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,1,3,edge,37.34,142.497,64.723,77.774,142.500,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,2,0,edge,37.34,147.492,70.561,76.931,147.496,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,2,1,interior,15.54,146.761,70.323,76.438,146.815,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,2,2,interior,15.54,146.761,70.323,76.438,146.815,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,2,3,edge,37.34,147.490,69.649,77.841,147.494,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,3,0,corner,59.14,153.218,75.793,77.425,153.169,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,3,1,edge,37.34,152.484,75.555,76.929,152.488,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,3,2,edge,37.34,152.484,75.555,76.929,152.488,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_50k,glass,1.15,50000,3,3,corner,59.14,153.216,74.843,78.373,153.167,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,0,0,corner,59.14,175.550,69.869,105.680,175.560,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,0,1,edge,37.34,174.447,69.326,105.121,174.511,wrapper:run_panel_map.sh (gated against panhq db)
