 0.0000000E+00, 0.0000000E+00,   65.0687
 0.1212000E+00, 0.0000000E+00,   77.4886
 0.9468750E-03, 0.0000000E+00,   65.1027
 0.1893750E-02, 0.0000000E+00,   65.1924
 0.2840625E-02, 0.0000000E+00,   65.3146
 0.3787500E-02, 0.0000000E+00,   65.4547
 0.4734375E-02, 0.0000000E+00,   65.6048
 0.5681250E-02, 0.0000000E+00,   65.7611
 0.6628125E-02, 0.0000000E+00,   65.9211
 0.7575000E-02, 0.0000000E+00,   66.0836
 0.8521875E-02, 0.0000000E+00,   66.2476
 0.9468750E-02, 0.0000000E+00,   66.4122
 0.1041562E-01, 0.0000000E+00,   66.5766
 0.1136250E-01, 0.0000000E+00,   66.7401
 0.1230938E-01, 0.0000000E+00,   66.9020
 0.1325625E-01, 0.0000000E+00,   67.0617
 0.1420313E-01, 0.0000000E+00,   67.2189
 0.1515000E-01, 0.0000000E+00,   67.3734
 0.1609688E-01, 0.0000000E+00,   67.5253
 0.1704375E-01, 0.0000000E+00,   67.6746
 0.1799062E-01, 0.0000000E+00,   67.8215
 0.1893750E-01, 0.0000000E+00,   67.9659
 0.1988437E-01, 0.0000000E+00,   68.1071
 0.2083125E-01, 0.0000000E+00,   68.2434
 0.2177812E-01, 0.0000000E+00,   68.3709
 0.2272500E-01, 0.0000000E+00,   68.4815
 0.2367188E-01, 0.0000000E+00,   68.5598
 0.2461875E-01, 0.0000000E+00,   68.5762
 0.2556563E-01, 0.0000000E+00,   68.4762
 0.2651250E-01, 0.0000000E+00,   68.1549
 0.2745938E-01, 0.0000000E+00,   67.4271
 0.2840625E-01, 0.0000000E+00,   65.8976
 0.2935313E-01, 0.0000000E+00,   64.9064
 0.3030000E-01, 0.0000000E+00,   65.9947
 0.3124688E-01, 0.0000000E+00,   67.6438
 0.3219375E-01, 0.0000000E+00,   68.6081
 0.3314062E-01, 0.0000000E+00,   69.1967
 0.3408750E-01, 0.0000000E+00,   69.5857
 0.3503437E-01, 0.0000000E+00,   69.8689
 0.3598125E-01, 0.0000000E+00,   70.0962
 0.3692812E-01, 0.0000000E+00,   70.2942
 0.3787500E-01, 0.0000000E+00,   70.4770
 0.3882187E-01, 0.0000000E+00,   70.6518
 0.3976875E-01, 0.0000000E+00,   70.8222
 0.4071562E-01, 0.0000000E+00,   70.9897
 0.4166250E-01, 0.0000000E+00,   71.1549
 0.4260937E-01, 0.0000000E+00,   71.3176
 0.4355625E-01, 0.0000000E+00,   71.4778
 0.4450312E-01, 0.0000000E+00,   71.6353
 0.4545000E-01, 0.0000000E+00,   71.7900
 0.4639688E-01, 0.0000000E+00,   71.9419
 0.4734375E-01, 0.0000000E+00,   72.0914
 0.4829063E-01, 0.0000000E+00,   72.2384
 0.4923750E-01, 0.0000000E+00,   72.3830
 0.5018438E-01, 0.0000000E+00,   72.5247
 0.5113125E-01, 0.0000000E+00,   72.6618
 0.5207813E-01, 0.0000000E+00,   72.7908
 0.5302500E-01, 0.0000000E+00,   72.9041
 0.5397188E-01, 0.0000000E+00,   72.9875
 0.5491875E-01, 0.0000000E+00,   73.0137
 0.5586563E-01, 0.0000000E+00,   72.9317
 0.5681250E-01, 0.0000000E+00,   72.6456
 0.5775938E-01, 0.0000000E+00,   71.9755
 0.5870625E-01, 0.0000000E+00,   70.6033
 0.5965313E-01, 0.0000000E+00,   69.7696
 0.6060000E-01, 0.0000000E+00,   70.9155
 0.6154688E-01, 0.0000000E+00,   72.5999
 0.6249375E-01, 0.0000000E+00,   73.5821
 0.6344063E-01, 0.0000000E+00,   74.1804
 0.6438750E-01, 0.0000000E+00,   74.5746
 0.6533438E-01, 0.0000000E+00,   74.8606
 0.6628125E-01, 0.0000000E+00,   75.0894
 0.6722812E-01, 0.0000000E+00,   75.2882
 0.6817500E-01, 0.0000000E+00,   75.4714
 0.6912187E-01, 0.0000000E+00,   75.6465
 0.7006875E-01, 0.0000000E+00,   75.8170
 0.7101562E-01, 0.0000000E+00,   75.9846
 0.7196250E-01, 0.0000000E+00,   76.1497
 0.7290937E-01, 0.0000000E+00,   76.3125
 0.7385625E-01, 0.0000000E+00,   76.4727
 0.7480312E-01, 0.0000000E+00,   76.6301
 0.7575000E-01, 0.0000000E+00,   76.7849
 0.7669687E-01, 0.0000000E+00,   76.9368
 0.7764375E-01, 0.0000000E+00,   77.0863
 0.7859062E-01, 0.0000000E+00,   77.2333
 0.7953750E-01, 0.0000000E+00,   77.3780
 0.8048437E-01, 0.0000000E+00,   77.5198
 0.8143125E-01, 0.0000000E+00,   77.6572
 0.8237812E-01, 0.0000000E+00,   77.7866
 0.8332500E-01, 0.0000000E+00,   77.9007
 0.8427187E-01, 0.0000000E+00,   77.9856
 0.8521875E-01, 0.0000000E+00,   78.0146
 0.8616562E-01, 0.0000000E+00,   77.9377
 0.8711250E-01, 0.0000000E+00,   77.6614
 0.8805937E-01, 0.0000000E+00,   77.0092
 0.8900625E-01, 0.0000000E+00,   75.6722
 0.8995312E-01, 0.0000000E+00,   74.8962
 0.9090000E-01, 0.0000000E+00,   76.1995
 0.9184688E-01, 0.0000000E+00,   78.0412
 0.9279375E-01, 0.0000000E+00,   79.0812
 0.9374063E-01, 0.0000000E+00,   79.7147
 0.9468750E-01, 0.0000000E+00,   80.1269
