paper_ref,variant,substrate,pj_bit,hcp,tcp_in,tile_i,tile_j,tile_class,pic_w,pic_max_C,pic_min_C,pic_spread_C,die_max_C,bc_source
thermal,design_map_1p15_plane,glass,1.15,70000,55,3,0,corner,59.14,135.143,74.014,61.130,135.064,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane,glass,1.15,70000,55,3,1,edge,37.34,134.565,73.834,60.731,134.539,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane,glass,1.15,70000,55,3,2,edge,37.34,134.565,73.834,60.731,134.539,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane,glass,1.15,70000,55,3,3,corner,59.14,135.143,73.378,61.765,135.064,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,0,0,corner,59.14,114.004,62.171,51.833,114.383,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,0,1,edge,37.34,113.432,61.886,51.546,113.856,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,0,2,edge,37.34,113.432,61.886,51.546,113.856,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,0,3,corner,59.14,113.999,61.088,52.911,114.378,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,1,0,edge,37.34,118.426,64.710,53.716,118.851,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,1,1,interior,15.54,117.854,64.512,53.343,118.324,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,1,2,interior,15.54,117.854,64.512,53.343,118.324,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,1,3,edge,37.34,118.422,63.942,54.480,118.847,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,2,0,edge,37.34,123.421,69.619,53.802,123.846,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,2,1,interior,15.54,122.849,69.421,53.428,123.320,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,2,2,interior,15.54,122.849,69.421,53.428,123.320,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,2,3,edge,37.34,123.417,68.867,54.549,123.842,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,3,0,corner,59.14,128.983,74.812,54.171,129.364,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,3,1,edge,37.34,128.411,74.614,53.797,128.837,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,3,2,edge,37.34,128.411,74.614,53.797,128.837,wrapper:run_panel_extra.sh
thermal,design_map_1p15_plane_si,si,1.15,70000,55,3,3,corner,59.14,128.978,74.027,54.951,129.359,wrapper:run_panel_extra.sh
